Название,Продолжительность,movies_duration
"Мама, я дома",104 мин,104
Три метра над уровнем неба,"Tres metros sobre el cielo, 123 мин",123
Капитан,126 мин,126
Лазурный берег,"By the Sea, 122 мин",122
Просто Джексон,90 мин,90
Кристофер Робин,"Christopher Robin, 104 мин",104
Очередь,"Darısı Başımıza, 120 мин",120
Карнавальная ночь,78 мин,78
Дело в тебе,"A Case of You, 91 мин",91
Кайт,"Kite, 90 мин",90
Аноним,"Anonymous, 130 мин",130
Раз на раз не приходится,73 мин,73
Смерть девушки,"Tod eines Mädchens, 90 мин",90
"Быстрее, пока папа не вернулся","Honey, I Shrunk the Kids, 90 мин",90
Медведи-соседи,"Boonie Bears, 13 мин",13
В мире много сказок,"Once Upon a Time, 43 мин",43
Да и да,115 мин,115
Дурак,116 мин,116
Художник,50 мин,50
Пятый номер,"El 5 de talleres, 100 мин",100
Миссия: Невыполнима 2,"Mission: Impossible II, 123 мин",123
"Удачи, Чак!","Good Luck Chuck, 101 мин",101
Донни Браско,"Donnie Brasco, 127 мин",127
Поймать Мэри,"Capturing Mary, 105 мин",105
Погружение,"Submergence, 112 мин",112
Особо опасен,"Wanted, 110 мин",110
Алёшкина любовь,88 мин,88
Дух живого леса,"Espíritu del bosque, 106 мин",106
По половому признаку,"On the Basis of Sex, 120 мин",120
"Умри, но не сейчас","Die Another Day, 133 мин",133
Любовники,"The Affair, 60 мин",60
Морпехи,"Jarhead, 123 мин",123
КрисТина. Фильм о фильме,"Christine, 95 мин",95
Шоколад,"Chocolat, 121 мин",121
Тёмный мир: Равновесие,95 мин,95
Муж двух жён,"Run for Your Wife, 94 мин",94
Душа Америки,"The Soul of America, 77 мин",77
Мой ангел-хранитель,"My Sister's Keeper, 109 мин",109
Механик,"The Mechanic, 93 мин",93
Двенадцать стульев,153 мин,153
Медальон,"Stolen, 95 мин",95
Двойник,"Counterpart, 60 мин",60
История игрушек,"Toy Story, 81 мин",81
Вам и не снилось...,86 мин,86
Младенец,"Baby's Day Out, 99 мин",99
Патрик,"Patrick Melrose, 60 мин",60
Фантазеры,"Ricchi di fantasia, 102 мин",102
Расторгуев,127 мин,127
Бразилия,"Brazil, 132 мин",132
Кубанские казаки,115 мин,115
Сошедшие с небес,80 мин,80
Морозко,84 мин,84
Эдем. Райский остров,"Eden, 90 мин",90
Аленький цветочек,42 мин,42
Её потаённые желания,"Little Girl Blue, 95 мин",95
Клеопатра,"Cleopatra, 243 мин",243
ЗЛО,"Evil, 42 мин",42
Виноградник,"Tierra de sangre, 106 мин",106
Отверженные,"Les Misérables, 158 мин",158
Шарада,"Charade, 113 мин",113
Подозрительные лица,"The Usual Suspects, 106 мин",106
Дэдпул 2,"Deadpool 2, 119 мин",119
Мать моей девушки 3,53 мин,53
Операция «Мертвый снег»,"Død snø, 88 мин",88
Дядя Ваня,"Uncle Vanya, 155 мин",155
Иностранец,"The Foreigner, 113 мин",113
Истории игрушек,"Toy Story, 81 мин",81
"Быстрее, чем кролики",99 мин,99
Домашние видео,"Sex Tape, 94 мин",94
Код доступа «Кейптаун»,"Safe House, 115 мин",115
Дилер-3,"Pusher III, 103 мин",103
"И жизнь, и слёзы, и любовь",97 мин,97
Пуленепробиваемый,"Bulletproof Monk, 104 мин",104
Свингер,96 мин,96
Общество мертвых поэтов,"Dead Poets Society, 128 мин",128
Царевна-лягушка,38 мин,38
Русалка,103 мин,103
Смерть нам к лицу,77 мин,77
Чертополох,"Ironweed, 143 мин",143
Марсианин,"The Martian, 144 мин",144
Красавчик 2,"Zweiohrküken, 124 мин",124
Крепись!,"Get Hard, 100 мин",100
Апокалипсис сегодня,"Apocalypse Now, 194 мин",194
Прорыв,"Breakthrough, 116 мин",116
Элвин и бурундуки 2,"Alvin and the Chipmunks: The Squeakquel, 88 мин",88
Дневник Бриджит Джонс,"Bridget Jones's Diary, 97 мин",97
Елки-палки!..,88 мин,88
Крёстный отец 3,"The Godfather: Part III, 170 мин",170
Непристойное предложение,"Indecent Proposal, 117 мин",117
Лови волну!,"Surf's Up, 85 мин",85
Планета обезьян: Война,"War for the Planet of the Apes, 140 мин",140
Афганский излом,132 мин,132
Перикола,83 мин,83
Князь Владимир,78 мин,78
Без видимых причин,81 мин,81
Миньоны,"Minions, 91 мин",91
Приключения мышонка Переса 2,"El ratón Pérez 2, 90 мин",90
Адмиралъ,124 мин,124
Круг,"Circle, 87 мин",87
Что скрывает ложь,"Trespass, 87 мин",87
Иван Царевич и Серый Волк 2,70 мин,70
Левша,"Southpaw, 124 мин",124
"Сдохнуть нужно, чтоб вы приехали",96 мин,96
Первоклашка,80 мин,80
Гремлин,"Gremlins, 106 мин",106
Доверие,"Trust, 105 мин",105
Форсаж 8,"The Fate of the Furious, 136 мин",136
Расплата,"The Accountant, 128 мин",128
Книга Илая,"The Book of Eli, 117 мин",117
С Новым!,90 мин,90
Женитьба,90 мин,90
Паранормальное явление 2,"Paranormal Activity 2, 91 мин",91
Короче,24 мин,24
Социальная сеть,"The Social Network, 120 мин",120
Возвращение Супермена,"Superman Returns, 154 мин",154
Лука,"Luca, 95 мин",95
Последнее изгнание дьявола,"The Last Exorcism, 87 мин",87
Живешь только дважды,"You Only Live Twice, 117 мин",117
Диверсия,"Diversion, 22 мин",22
Паранойя,"Disturbia, 104 мин",104
Боги Египта,"Gods of Egypt, 127 мин",127
Когда зажигаются елки,20 мин,20
Жить жизнь. Фильм о фильме,"The Life of Chuck, 110 мин",110
Проклятие Шалтай-Болтая,"The Curse of Humpty Dumpty, 92 мин",92
Увeртюра,"Gravity Daze the Animation: Ouverture, 19 мин",19
Молодожены,"Just Married, 95 мин",95
Проигранное место,95 мин,95
Нереальная любовь,80 мин,80
Аллея кошмаров,"Nightmare Alley, 150 мин",150
Обитель страха,"Lazareth, 86 мин",86
Предостережение,"Caveat, 88 мин",88
Знамение,"Knowing, 121 мин",121
Антебеллум,"Antebellum, 105 мин",105
Красотки с игрушками,"Lady and the Tramp, 76 мин",76
Доверие,"Trust, 105 мин",105
Насосная станция,"Pieczone golabki, 95 мин",95
Поезд в Пусан,"Busanhaeng, 118 мин",118
Сердце храбреца,19 мин,19
Октябрьское небо,"October Sky, 108 мин",108
Мадагаскар,"Madagascar, 86 мин",86
"Здравствуй, Дедушка Мороз!",84 мин,84
«V» значит Вендетта,"V for Vendetta, 132 мин",132
Механик,"The Mechanic, 93 мин",93
Шпионские игры,"Spy Game, 122 мин",122
Пленница,"Captive, 90 мин",90
Когда опаздывают в ЗАГС,93 мин,93
Урок литературы,75 мин,75
Клиника для мигрантов,"Clínica de Migrantes: Life, Liberty, and the Pursuit of Happiness, 39 мин",39
Молох,"Moloch, 99 мин",99
Последний рейд,"The Missing, 137 мин",137
Драйв,"Drive, 100 мин",100
Большой собачий побег,"Ozzy, 90 мин",90
Перелом,"Fracture, 108 мин",108
В ритме сердца,"In a Heartbeat, 4 мин",4
Тибра,84 мин,84
Рыцарь кубков,"Knight of Cups, 118 мин",118
Морская бригада,"SeeFood, 95 мин",95
Всевидящее око,"The Pale Blue Eye, 128 мин",128
Таинственная река,"Mystic River, 138 мин",138
Катерина Измайлова (фильм-опера),121 мин,121
Старший сын,134 мин,134
Морские котики,"Navy Seals, 113 мин",113
Вечеринка,"The Afterparty, 35 мин",35
Голубая игуана,"Blue Iguana, 100 мин",100
Скрежет,"Twisted Metal, 30 мин",30
Шультес,100 мин,100
Из добрых побуждений,"Longford, 93 мин",93
Блондинка в законе,"Legally Blonde, 96 мин",96
Куколка,"Dollface, 29 мин",29
Опасный бизнес,"Gringo, 111 мин",111
Ментовские войны. Эпилог,90 мин,90
Любите Куперов,"Love the Coopers, 107 мин",107
Чудо-Юдо,75 мин,75
Разум и чувства,"Sense and Sensibility, 136 мин",136
Залет,"Le test, 85 мин",85
Заноза,"Splinter, 82 мин",82
Реальная белка 2,"The Nut Job 2: Nutty by Nature, 95 мин",95
На колесах,"Wo ist Fred?, 107 мин",107
Прага,"Prag, 92 мин",92
Не просто костюм,"Suited, 85 мин",85
Сказка странствий,101 мин,101
Большой Лебовски,"The Big Lebowski, 117 мин",117
Игра с огнем,"Burn, 88 мин",88
Анафема,45 мин,45
Любовь и прочий зоопарк,"Gaspard va au mariage, 103 мин",103
Тампон,"Alientampon, 3 мин",3
Найти Форрестера,"Finding Forrester, 131 мин",131
На пути в Берлин,92 мин,92
Маленькие женщины,"Little Women, 135 мин",135
Телохранитель,"Bodyguard, 360 мин",360
Адмирал Нахимов,93 мин,93
Я иду искать,"Ready or Not, 95 мин",95
Трон: Наследие,"Tron: Legacy, 125 мин",125
Доктор Ноу,"Dr. No, 111 мин",111
Сумасшедшая езда,"Drive Angry, 104 мин",104
Мультяшный городок,"Inside Out, 95 мин",95
Зубная фея,"Tooth Fairy, 97 мин",97
Гранд. Фильм о фильме,"Grand. Film o filme, 43 мин",43
Рокки 3,"Rocky III, 99 мин",99
"Добро пожаловать, или посторонним вход воспрещен",71 мин,71
Время первых,140 мин,140
Зайчик,87 мин,87
Вдовы,"Widows, 129 мин",129
Богемская рапсодия,"Bohemian Rhapsody, 134 мин",134
Соседка,"The Girl Next Door, 109 мин",109
Гости,23 мин,23
Сказка о мёртвой царевне и о семи богатырях,32 мин,32
Пункт назначения 4,"The Final Destination, 82 мин",82
Страна призраков,"Ghostland, 91 мин",91
Мачеха Саманишвили,89 мин,89
Дом напротив,"The Neighbor, 87 мин",87
Контейнер. Фильм о фильме,26 мин,26
Последняя жертва,103 мин,103
Итальянские каникулы,"Odio l'estate, 110 мин",110
Парк развлечений,"Eld & lågor, 104 мин",104
Неубиваемый,"Bullet Proof, 96 мин",96
Голоса за кадром,"Golden Voices, 88 мин",88
Стертая личность,"Boy Erased, 115 мин",115
Чужой билет,"Bounce, 106 мин",106
Проклятие ведьмы,"The Reckoning, 110 мин",110
Конец прекрасной эпохи,98 мин,98
Разборчивый жених,96 мин,96
Сумка инкассатора,93 мин,93
Опасное погружение,"Pressure, 91 мин",91
Проклятье Лепрекона,"Leprechaun's Rage, 81 мин",81
Перестрелка,"Free Fire, 91 мин",91
Приговор,97 мин,97
Нимфоманка: Часть 2,"Nymphomaniac: Vol. II, 123 мин",123
Где-то во времени,"The Fare, 82 мин",82
Американский психопат,"American Psycho, 102 мин",102
Джентльмены предпочитают блондинок,"Gentlemen Prefer Blondes, 91 мин",91
Пряности и страсти,"The Hundred-Foot Journey, 122 мин",122
Последний звонок,"Last Call, 81 мин",81
Преисподняя,"Brimstone, 148 мин",148
Ошибки юности,87 мин,87
Свекла,"Roots, Beets and Russia, 7 мин",7
Синяя бездна 2,"47 Meters Down: Uncaged, 90 мин",90
Небесный тихоход,83 мин,83
Блокбастер,83 мин,83
Перерождённая,"Reborn, 77 мин",77
Мой первый раз втроем,39 мин,39
Филомена,"Philomena, 98 мин",98
Джуно,"Juno, 96 мин",96
Мгновения Нью-Йорка,"New York Minute, 91 мин",91
Дубликаты,"In Their Skin, 97 мин",97
Клубнички,25 мин,25
Украшение дома к Новому году,47 мин,47
Крутые яйца 2,"Un rescate de huevitos, 88 мин",88
Мой друг Иван Лапшин,100 мин,100
Киллеры... Недорого,"The Driller Killer, 96 мин",96
Мать и мачеха,82 мин,82
Рита,90 мин,90
Наёмник,"The Contractor, 103 мин",103
Стартап,"Seutateueop, 80 мин",80
Худший человек на свете,"Verdens verste menneske, 129 мин",129
Разъединение,"Déconnexion, 13 мин",13
Стачка,82 мин,82
Сценарий,52 мин,52
Балканский рубеж,151 мин,151
Чего хочет Джульетта,"L'embarras du choix, 95 мин",95
"Ван Гог. С любовью, Винсент","Loving Vincent, 94 мин",94
Элиты побережья,"Coastal Elites, 88 мин",88
